Trajectory_ID,Order,Latitude,Longitude,Latitude_2,Longitude_2,Bearing,Type
86,0,35.262478,-59.455505,35.262173,-59.45508,131.3125091502925,Fishing
86,5,35.262173,-59.45508,35.262104,-59.45433,96.42838084627698,Fishing
86,10,35.262104,-59.45433,35.262165,-59.45415,67.45950002214846,Fishing
86,12,35.262165,-59.45415,35.262085,-59.45401,124.98562111248282,Fishing
86,14,35.262085,-59.45401,35.26213,-59.45386,69.82596264170627,Fishing
86,16,35.26213,-59.45386,35.26196,-59.453506,120.46127120118581,Fishing
86,19,35.26196,-59.453506,35.26187,-59.4531,105.18883147278132,Fishing
86,22,35.26187,-59.4531,,,,Fishing
89,0,35.2627,-59.45557,35.262753,-59.455425,65.88398730301287,Fishing
89,2,35.262753,-59.455425,35.262638,-59.45519,120.93548343287512,Fishing
89,4,35.262638,-59.45519,35.26259,-59.454937,103.08091747054368,Fishing
89,6,35.26259,-59.454937,35.262478,-59.454723,122.65872501908979,Fishing
89,8,35.262478,-59.454723,35.262432,-59.454468,102.45811063670067,Fishing
89,11,35.262432,-59.454468,35.262608,-59.4541,59.64093593103365,Fishing
89,15,35.262608,-59.4541,35.262604,-59.453953,91.90867069157639,Fishing
89,17,35.262604,-59.453953,,,,Fishing
90,0,35.26251,-59.455578,35.262394,-59.455505,152.8039748508745,Fishing
90,2,35.262394,-59.455505,35.262417,-59.455784,275.7652502730997,Fishing
90,5,35.262417,-59.455784,35.26258,-59.455677,28.191051719529696,Fishing
90,7,35.26258,-59.455677,35.262928,-59.455708,355.8399057799381,Fishing
90,11,35.262928,-59.455708,35.262936,-59.455853,273.865693961679,Fishing
90,17,35.262936,-59.455853,35.26282,-59.456024,230.28005769921964,Fishing
90,20,35.26282,-59.456024,35.262657,-59.455753,126.3767549701688,Fishing
90,22,35.262657,-59.455753,,,,Fishing
103,0,35.26269,-59.45551,35.262684,-59.454426,90.38808282396894,Fishing
103,7,35.262684,-59.454426,35.26291,-59.45381,65.80403786861268,Fishing
103,11,35.26291,-59.45381,35.26265,-59.453075,113.42371187839342,Fishing
103,17,35.26265,-59.453075,35.262714,-59.452198,84.89249700435971,Fishing
103,25,35.262714,-59.452198,35.263138,-59.451477,54.237403771523475,Fishing
103,32,35.263138,-59.451477,35.26323,-59.449886,85.94860872493251,Fishing
103,43,35.26323,-59.449886,35.263504,-59.449505,48.62704799617126,Fishing
103,47,35.263504,-59.449505,,,,Fishing
109,0,35.262608,-59.45543,35.262577,-59.455105,96.66295479607231,Fishing
109,2,35.262577,-59.455105,35.262543,-59.454525,94.10626681646119,Fishing
109,5,35.262543,-59.454525,35.26253,-59.454052,91.92772838273373,Fishing
109,8,35.26253,-59.454052,35.262554,-59.45357,86.51018507628783,Fishing
